"","GSM650876.CEL.gz","GSM650877.CEL.gz","GSM650878.CEL.gz","GSM650879.CEL.gz","GSM650880.CEL.gz","GSM650883.CEL.gz","GSM650885.CEL.gz","GSM650923.CEL.gz","GSM650924.CEL.gz","GSM650930.CEL.gz","GSM650931.CEL.gz","GSM650944.CEL.gz","GSM650946.CEL.gz","GSM650950.CEL.gz","GSM650951.CEL.gz","GSM650954.CEL.gz","GSM650959.CEL.gz","GSM650968.CEL.gz","GSM650969.CEL.gz","GSM650970.CEL.gz","GSM650975.CEL.gz"
"LINC01128",7.575569,7.81717,7.695029,7.495486,7.462981,7.086119,7.187736,7.155224,7.489574,8.201512,7.554474,7.515678,7.907138,8.179843,7.881976,7.736908,7.800728,7.591349,7.927571,7.807398,8.057399
"ISG15",7.624894,7.117802,7.520475,7.474655,7.412729,7.167821,7.685093,7.735854,7.190735,7.064595,7.233101,8.699819,7.373696,7.414944,7.302315,7.404726,7.685369,7.509189,7.263457,7.344701,7.536274
"SLC25A33",8.693018,8.428586,8.340659,8.281868,8.269921,7.87342,8.462543,8.36053,7.973997,7.547395,7.120321,7.594758,7.780251,7.291135,7.469125,7.744339,7.779572,7.807796,7.575769,7.436038,7.669425
"RBP7",6.947236,6.634827,5.75642,5.909541,6.397363,6.477703,6.159352,6.675923,6.397966,5.289753,6.415764,6.298439,6.546234,5.860817,6.261531,6.328678,5.939276,6.493185,6.298535,6.393383,6.24152
"PGD",10.159275,10.304521,10.166557,9.074119,10.255038,10.166952,10.099866,10.138683,10.917744,10.430772,11.156701,10.934496,10.781862,10.07806,10.717894,10.85205,10.657963,10.796962,11.048911,10.859075,10.775936
"UBIAD1",8.335236,8.773177,8.857473,8.631237,8.673587,8.577993,8.745144,8.646734,8.61068,9.336596,8.918345,9.2376,9.100146,9.611677,9.268898,9.350569,9.375189,9.049579,9.326099,9.153984,9.203453
"RNU5E-1",8.520968,9.296638,8.479556,7.943089,7.649848,8.880995,8.543408,8.283479,6.52622,6.632364,7.469477,7.375854,7.116267,8.037542,7.798727,7.891983,7.018247,7.737683,7.520148,7.649488,6.737857
"PLOD1",7.619641,7.701079,7.280345,7.310211,7.447491,7.47243,7.563598,7.948138,7.589527,8.126239,8.619345,8.702195,8.321769,7.770836,8.226154,8.390594,8.06435,8.210258,8.376519,8.484643,8.091333
"TNFRSF1B",9.490986,9.995196,9.741935,8.800254,9.681909,9.386273,9.668217,9.946775,10.052153,10.098809,10.496497,10.597521,10.544351,9.989231,10.376357,10.219468,10.475235,10.391139,10.34487,10.365919,10.146955
"TMEM51-AS1",6.698524,6.09738,6.424072,8.034277,6.182639,6.425591,6.960098,7.322784,6.413924,6.862045,7.078866,6.50016,6.456892,6.42976,6.555847,6.386501,6.637673,6.514217,6.520938,6.378031,6.16471
"PADI4",8.2414,8.058723,7.706531,6.929022,8.220003,7.854819,7.039836,8.490702,8.589825,7.643027,9.593005,8.318027,8.29327,7.519333,8.281211,8.278577,8.135989,8.373603,8.702863,8.468952,8.238555
"RPS14P3",7.29908,7.390956,7.599544,7.483071,7.304963,7.240734,6.944671,6.752194,6.865184,7.69212,7.301212,7.139076,7.819957,7.911206,7.382297,7.784802,7.410756,7.566841,7.604159,7.68567,7.18288
"CDA",9.160534,9.61122,9.487273,7.694039,8.872539,8.985589,9.114941,9.387964,9.794461,9.730836,11.365004,10.367348,10.893232,10.275354,10.259313,10.659705,10.575294,9.995538,10.357599,9.971027,10.787402
"HS6ST1",7.004673,6.979713,7.289464,7.451528,6.367989,5.791678,5.469307,7.890793,7.246983,6.640327,6.617138,7.653312,7.650922,7.305591,7.063843,7.780606,7.502211,7.502401,6.996671,7.576047,7.767424
"ALPL",8.106435,8.489996,8.407702,7.968992,8.721043,8.541831,8.688743,9.677439,9.04843,10.38963,10.302626,9.529467,9.69334,9.494941,9.792066,9.18846,9.639807,9.639063,9.928629,9.669185,9.534124
