"","from","to","combined_score"
"1","9606.ENSP00000008938","9606.ENSP00000011653",208
"2","9606.ENSP00000008938","9606.ENSP00000011653",208
"3","9606.ENSP00000009530","9606.ENSP00000011653",408
"4","9606.ENSP00000009530","9606.ENSP00000011653",408
"5","9606.ENSP00000009530","9606.ENSP00000085219",524
"6","9606.ENSP00000009530","9606.ENSP00000085219",524
"7","9606.ENSP00000011653","9606.ENSP00000085219",281
"8","9606.ENSP00000011653","9606.ENSP00000085219",281
"9","9606.ENSP00000000233","9606.ENSP00000164227",209
"10","9606.ENSP00000000233","9606.ENSP00000164227",209
"11","9606.ENSP00000009530","9606.ENSP00000164227",220
"12","9606.ENSP00000009530","9606.ENSP00000164227",220
"13","9606.ENSP00000037243","9606.ENSP00000164227",202
"14","9606.ENSP00000037243","9606.ENSP00000164227",202
"15","9606.ENSP00000157812","9606.ENSP00000164227",287
"16","9606.ENSP00000157812","9606.ENSP00000164227",287
"17","9606.ENSP00000026218","9606.ENSP00000169298",652
"18","9606.ENSP00000026218","9606.ENSP00000169298",652
"19","9606.ENSP00000029410","9606.ENSP00000169298",530
"20","9606.ENSP00000029410","9606.ENSP00000169298",530
"21","9606.ENSP00000085219","9606.ENSP00000169298",701
"22","9606.ENSP00000085219","9606.ENSP00000169298",701
"23","9606.ENSP00000011653","9606.ENSP00000204566",506
"24","9606.ENSP00000011653","9606.ENSP00000204566",506
"25","9606.ENSP00000037243","9606.ENSP00000215071",367
"26","9606.ENSP00000037243","9606.ENSP00000215071",367
"27","9606.ENSP00000157812","9606.ENSP00000215071",999
"28","9606.ENSP00000157812","9606.ENSP00000215071",999
"29","9606.ENSP00000164227","9606.ENSP00000215071",234
"30","9606.ENSP00000164227","9606.ENSP00000215071",234
"31","9606.ENSP00000215071","9606.ENSP00000215574",355
"32","9606.ENSP00000215071","9606.ENSP00000215574",355
"33","9606.ENSP00000037243","9606.ENSP00000215730",433
"34","9606.ENSP00000037243","9606.ENSP00000215730",433
"35","9606.ENSP00000009530","9606.ENSP00000215754",986
"36","9606.ENSP00000009530","9606.ENSP00000215754",986
"37","9606.ENSP00000215071","9606.ENSP00000215754",214
"38","9606.ENSP00000215071","9606.ENSP00000215754",214
"39","9606.ENSP00000169298","9606.ENSP00000215882",200
"40","9606.ENSP00000169298","9606.ENSP00000215882",200
"41","9606.ENSP00000215730","9606.ENSP00000215882",208
"42","9606.ENSP00000215730","9606.ENSP00000215882",208
"43","9606.ENSP00000011653","9606.ENSP00000215909",414
"44","9606.ENSP00000011653","9606.ENSP00000215909",414
"45","9606.ENSP00000215574","9606.ENSP00000215917",218
"46","9606.ENSP00000215574","9606.ENSP00000215917",218
"47","9606.ENSP00000215071","9606.ENSP00000216034",256
"48","9606.ENSP00000215071","9606.ENSP00000216034",256
"49","9606.ENSP00000215754","9606.ENSP00000216117",271
"50","9606.ENSP00000215754","9606.ENSP00000216117",271
"51","9606.ENSP00000209875","9606.ENSP00000216133",252
"52","9606.ENSP00000209875","9606.ENSP00000216133",252
"53","9606.ENSP00000215071","9606.ENSP00000216185",277
"54","9606.ENSP00000215071","9606.ENSP00000216185",277
"55","9606.ENSP00000215574","9606.ENSP00000216185",227
"56","9606.ENSP00000215574","9606.ENSP00000216185",227
"57","9606.ENSP00000216034","9606.ENSP00000216185",793
"58","9606.ENSP00000216034","9606.ENSP00000216185",793
"59","9606.ENSP00000216117","9606.ENSP00000216185",386
"60","9606.ENSP00000216117","9606.ENSP00000216185",386
"61","9606.ENSP00000009530","9606.ENSP00000216223",309
"62","9606.ENSP00000009530","9606.ENSP00000216223",309
"63","9606.ENSP00000011653","9606.ENSP00000216223",686
"64","9606.ENSP00000011653","9606.ENSP00000216223",686
"65","9606.ENSP00000085219","9606.ENSP00000216223",300
"66","9606.ENSP00000085219","9606.ENSP00000216223",300
"67","9606.ENSP00000215909","9606.ENSP00000216223",244
"68","9606.ENSP00000215909","9606.ENSP00000216223",244
"69","9606.ENSP00000216117","9606.ENSP00000216223",229
"70","9606.ENSP00000216117","9606.ENSP00000216223",229
"71","9606.ENSP00000215882","9606.ENSP00000216254",426
"72","9606.ENSP00000215882","9606.ENSP00000216254",426
"73","9606.ENSP00000216034","9606.ENSP00000216254",910
"74","9606.ENSP00000216034","9606.ENSP00000216254",910
"75","9606.ENSP00000216117","9606.ENSP00000216254",304
"76","9606.ENSP00000216117","9606.ENSP00000216254",304
"77","9606.ENSP00000216185","9606.ENSP00000216254",277
"78","9606.ENSP00000216185","9606.ENSP00000216254",277
"79","9606.ENSP00000009530","9606.ENSP00000216338",290
"80","9606.ENSP00000009530","9606.ENSP00000216338",290
"81","9606.ENSP00000216223","9606.ENSP00000216338",343
"82","9606.ENSP00000216223","9606.ENSP00000216338",343
"83","9606.ENSP00000008938","9606.ENSP00000216446",308
"84","9606.ENSP00000008938","9606.ENSP00000216446",308
"85","9606.ENSP00000009530","9606.ENSP00000216802",304
"86","9606.ENSP00000009530","9606.ENSP00000216802",304
"87","9606.ENSP00000157812","9606.ENSP00000216802",984
"88","9606.ENSP00000157812","9606.ENSP00000216802",984
"89","9606.ENSP00000215071","9606.ENSP00000216802",935
"90","9606.ENSP00000215071","9606.ENSP00000216802",935
