ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-mir-17-5p,MIMAT0000070,CDKN1A,1026,HITS-CLIP//Luciferase reporter assay//Northern blot//qRT-PCR//Reporter assay//Western blot,18212054|18493594|20190813|18941111|20227518|21283765|23333058|24989082|22473208|27774777|26482648,Peripheral blood
hsa-mir-17-5p,MIMAT0000070,CCL5,6352,HITS-CLIP,23313552,Peripheral blood
hsa-mir-17-5p,MIMAT0000070,TNF,7124,Luciferase reporter assay,26041742,Peripheral blood
hsa-mir-17-5p,MIMAT0000070,TP53,7157,qRT-PCR,24955218,Peripheral blood
hsa-mir-17-5p,MIMAT0000070,TLR7,51284,HITS-CLIP//Luciferase reporter assay,23313552|26041742,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,EEF2,1938,CLASH,23622248,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,FCGR2B,2213,qRT-PCR//Western blot,24169826,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,TP53,7157,qRT-PCR,24955218,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,RACK1,10399,CLASH,23622248,Peripheral blood
hsa-mir-19a-3p,MIMAT0000073,ACTB,60,PAR-CLIP,23592263|21572407,Peripheral blood
hsa-mir-19a-3p,MIMAT0000073,TNF,7124,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,21271217|23795660|26041742,Peripheral blood
hsa-mir-19a-3p,MIMAT0000073,TP53,7157,HITS-CLIP,22473208,Peripheral blood
hsa-mir-19a-3p,MIMAT0000073,TLR7,51284,Luciferase reporter assay,26041742,Peripheral blood
hsa-mir-19b-3p,MIMAT0000074,ACTB,60,PAR-CLIP,23592263|21572407,Peripheral blood
hsa-mir-19b-3p,MIMAT0000074,TP53,7157,HITS-CLIP//Immunoblot//Immunohistochemistry//Luciferase reporter assay//qRT-PCR,22473208|24742936,Peripheral blood
hsa-mir-20a-5p,MIMAT0000075,CDKN1A,1026,HITS-CLIP//Luciferase reporter assay//qRT-PCR//Western blot,20190813|18941111|21283765|23333058|22473208,Peripheral blood
hsa-mir-20a-5p,MIMAT0000075,CCL5,6352,HITS-CLIP,23313552,Peripheral blood
hsa-mir-20a-5p,MIMAT0000075,TP53,7157,qRT-PCR,24955218,Peripheral blood
hsa-mir-20a-5p,MIMAT0000075,TLR7,51284,HITS-CLIP,23313552,Peripheral blood
hsa-mir-20a-5p,MIMAT0000075,TUBB,203068,CLASH,23622248,Peripheral blood
hsa-mir-21-5p,MIMAT0000076,CCR7,1236,HITS-CLIP,22473208,Peripheral blood
hsa-mir-21-5p,MIMAT0000076,CXCL10,3627,qRT-PCR,24889251,Peripheral blood
hsa-mir-25-3p,MIMAT0000081,CDK4,1019,CLASH,23622248,Peripheral blood
hsa-mir-25-3p,MIMAT0000081,TP53,7157,Luciferase reporter assay//qRT-PCR//Western blot,20935678,Peripheral blood
hsa-mir-25-3p,MIMAT0000081,TUBB,203068,CLASH,23622248,Peripheral blood
hsa-mir-33a-5p,MIMAT0000091,ACTB,60,Flow//PAR-CLIP//qRT-PCR//Western blot,20371350|25544258,Peripheral blood
hsa-mir-93-5p,MIMAT0000093,CDKN1A,1026,HITS-CLIP//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,18328430|19153141|20190813|22473208|27185265|28356951,Peripheral blood
hsa-mir-93-5p,MIMAT0000093,CCL5,6352,HITS-CLIP,23313552,Peripheral blood
hsa-mir-93-5p,MIMAT0000093,TLR7,51284,HITS-CLIP,23313552,Peripheral blood
hsa-mir-99a-5p,MIMAT0000097,RPS15,6209,CLASH,23622248,Peripheral blood
hsa-mir-181a-5p,MIMAT0000256,CD4,920,Flow//qRT-PCR//Western blot,23393335,Peripheral blood
hsa-mir-181a-5p,MIMAT0000256,CDKN1A,1026,qRT-PCR//Western blot,27534652,Peripheral blood
hsa-mir-181a-5p,MIMAT0000256,CDKN1B,1027,CLASH//Luciferase reporter assay//qRT-PCR//Reporter assay//Western blot,19273599|23622248|27534652,Peripheral blood
